2021-08-30T16:22:36.008Z [INFO] (Copier) de.inovex.lkirner.pong: stdout. INFO:__main__:Received message at [1630340556007804862 - 1.630340556004256e+18] = 3548928.0. {scriptName=services.de.inovex.lkirner.pong.lifecycle.Run, serviceName=de.inovex.lkirner.pong, currentState=RUNNING}
2021-08-30T16:22:37.013Z [INFO] (Copier) de.inovex.lkirner.pong: stdout. INFO:__main__:Received message at [1630340557013012490 - 1.6303405570094387e+18] = 3573760.0. {scriptName=services.de.inovex.lkirner.pong.lifecycle.Run, serviceName=de.inovex.lkirner.pong, currentState=RUNNING}
2021-08-30T16:22:38.018Z [INFO] (Copier) de.inovex.lkirner.pong: stdout. INFO:__main__:Received message at [1630340558018231594 - 1.6303405580148206e+18] = 3410944.0. {scriptName=services.de.inovex.lkirner.pong.lifecycle.Run, serviceName=de.inovex.lkirner.pong, currentState=RUNNING}
2021-08-30T16:22:39.026Z [INFO] (Copier) de.inovex.lkirner.pong: stdout. INFO:__main__:Received message at [1630340559025470993 - 1.6303405590198615e+18] = 5609472.0. {scriptName=services.de.inovex.lkirner.pong.lifecycle.Run, serviceName=de.inovex.lkirner.pong, currentState=RUNNING}
2021-08-30T16:22:40.029Z [INFO] (Copier) de.inovex.lkirner.pong: stdout. INFO:__main__:Received message at [1630340560029043941 - 1.630340560024897e+18] = 4146944.0. {scriptName=services.de.inovex.lkirner.pong.lifecycle.Run, serviceName=de.inovex.lkirner.pong, currentState=RUNNING}
2021-08-30T16:22:41.034Z [INFO] (Copier) de.inovex.lkirner.pong: stdout. INFO:__main__:Received message at [1630340561033889028 - 1.630340561030329e+18] = 3559936.0. {scriptName=services.de.inovex.lkirner.pong.lifecycle.Run, serviceName=de.inovex.lkirner.pong, currentState=RUNNING}
2021-08-30T16:22:42.039Z [INFO] (Copier) de.inovex.lkirner.pong: stdout. INFO:__main__:Received message at [1630340562039075658 - 1.6303405620355072e+18] = 3568384.0. {scriptName=services.de.inovex.lkirner.pong.lifecycle.Run, serviceName=de.inovex.lkirner.pong, currentState=RUNNING}
2021-08-30T16:22:43.044Z [INFO] (Copier) de.inovex.lkirner.pong: stdout. INFO:__main__:Received message at [1630340563044157485 - 1.6303405630405443e+18] = 3613184.0. {scriptName=services.de.inovex.lkirner.pong.lifecycle.Run, serviceName=de.inovex.lkirner.pong, currentState=RUNNING}
2021-08-30T16:22:44.049Z [INFO] (Copier) de.inovex.lkirner.pong: stdout. INFO:__main__:Received message at [1630340564048962770 - 1.6303405640454536e+18] = 3509248.0. {scriptName=services.de.inovex.lkirner.pong.lifecycle.Run, serviceName=de.inovex.lkirner.pong, currentState=RUNNING}
2021-08-30T16:22:45.055Z [INFO] (Copier) de.inovex.lkirner.pong: stdout. INFO:__main__:Received message at [1630340565054258576 - 1.6303405650506076e+18] = 3651072.0. {scriptName=services.de.inovex.lkirner.pong.lifecycle.Run, serviceName=de.inovex.lkirner.pong, currentState=RUNNING}
2021-08-30T16:22:46.061Z [INFO] (Copier) de.inovex.lkirner.pong: stdout. INFO:__main__:Received message at [1630340566060282824 - 1.6303405660568376e+18] = 3445248.0. {scriptName=services.de.inovex.lkirner.pong.lifecycle.Run, serviceName=de.inovex.lkirner.pong, currentState=RUNNING}
2021-08-30T16:22:47.068Z [INFO] (Copier) de.inovex.lkirner.pong: stdout. INFO:__main__:Received message at [1630340567066522245 - 1.6303405670628058e+18] = 3716608.0. {scriptName=services.de.inovex.lkirner.pong.lifecycle.Run, serviceName=de.inovex.lkirner.pong, currentState=RUNNING}
2021-08-30T16:22:48.072Z [INFO] (Copier) de.inovex.lkirner.pong: stdout. INFO:__main__:Received message at [1630340568071570321 - 1.630340568068094e+18] = 3476480.0. {scriptName=services.de.inovex.lkirner.pong.lifecycle.Run, serviceName=de.inovex.lkirner.pong, currentState=RUNNING}
2021-08-30T16:22:49.077Z [INFO] (Copier) de.inovex.lkirner.pong: stdout. INFO:__main__:Received message at [1630340569076466093 - 1.6303405690731103e+18] = 3355904.0. {scriptName=services.de.inovex.lkirner.pong.lifecycle.Run, serviceName=de.inovex.lkirner.pong, currentState=RUNNING}
2021-08-30T16:22:50.083Z [INFO] (Copier) de.inovex.lkirner.pong: stdout. INFO:__main__:Received message at [1630340570082313136 - 1.6303405700789868e+18] = 3326464.0. {scriptName=services.de.inovex.lkirner.pong.lifecycle.Run, serviceName=de.inovex.lkirner.pong, currentState=RUNNING}
2021-08-30T16:22:51.088Z [INFO] (Copier) de.inovex.lkirner.pong: stdout. INFO:__main__:Received message at [1630340571087210553 - 1.63034057108385e+18] = 3360512.0. {scriptName=services.de.inovex.lkirner.pong.lifecycle.Run, serviceName=de.inovex.lkirner.pong, currentState=RUNNING}
